"id","participant","classtype","subject","trials"
"43","e3735404-332e-4209-b9aa-aa674454aa43","DemoExperiment","{'guess': 'History. The first Magic core set, retroactively labelled Alpha, was created by Dr. Richard Garfield, bought by Wizards of the Coast, and released in August 1993. ... Richard chose “The Gathering” as a sub name signifying the beginning, as the plan was to keep changing the sub names.Sep 8, 2019\n', 'age': '28', 'sex': 'male', 'engagement': '7', 'difficulty': '4', 'feedback': 'good game', 'learningTaskId': 'learn05', 'token': 'TWI3YPLP', 'date': '2019_11_29', 'time': '12_03_24', 'instructions_duration': 77315, 'task_duration': 2322982}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['yd', 'yd', 'yd', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'rc', 'rc', 'rc', 'rc'], 'recipient': ['bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc'], 'selection': ['yd', 'yc', 'yc', 'yd', 'yc', 'yd', 'yc', 'rd', 'rc', 'ys', 'ys', 'bc', 'rc', 'rs', 'rc'], 'ts': [1574967550729, 1574967561313, 1574967569169, 1574967583985, 1574967594392, 1574967603696, 1574967609976, 1574967629360, 1574967641208, 1574967647952, 1574967654320, 1574967660368, 1574967666016, 1574967681992, 1574967690328], 'clicks': [[{'stone': 'ys', 'timestamp': 1574967543433}, {'stone': 'ys', 'timestamp': 1574967546025}, {'stone': 'yc', 'timestamp': 1574967546609}, {'stone': 'rs', 'timestamp': 1574967547185}, {'stone': 'ys', 'timestamp': 1574967549977}, {'stone': 'yd', 'timestamp': 1574967550729}], [{'stone': 'yc', 'timestamp': 1574967561313}], [{'stone': 'yc', 'timestamp': 1574967569169}], [{'stone': 'yd', 'timestamp': 1574967583985}], [{'stone': 'yc', 'timestamp': 1574967594392}], [{'stone': 'yd', 'timestamp': 1574967603696}], [{'stone': 'yc', 'timestamp': 1574967609976}], [{'stone': 'yc', 'timestamp': 1574967617416}, {'stone': 'rd', 'timestamp': 1574967629360}], [{'stone': 'rc', 'timestamp': 1574967641208}], [{'stone': 'ys', 'timestamp': 1574967647952}], [{'stone': 'ys', 'timestamp': 1574967654320}], [{'stone': 'bc', 'timestamp': 1574967660368}], [{'stone': 'rc', 'timestamp': 1574967666016}], [{'stone': 'yc', 'timestamp': 1574967674368}, {'stone': 'rc', 'timestamp': 1574967677688}, {'stone': 'rs', 'timestamp': 1574967681992}], [{'stone': 'rc', 'timestamp': 1574967690328}]]}"
"14","004fb063-c078-496b-8722-cdc9b33dd6f3","DemoExperiment","{'guess': 'Magic shapes change the color to the one not used unless they are the same color, then they stay the same.', 'age': '58', 'sex': 'male', 'engagement': '9', 'difficulty': '10', 'feedback': '', 'learningTaskId': 'learn04', 'token': '21DU5IMH', 'date': '2019_11_27', 'time': '11_27_41', 'instructions_duration': 295230, 'task_duration': 370915}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rc', 'rc', 'rc', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'yd', 'yd', 'yd', 'yd'], 'recipient': ['ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd'], 'selection': ['rs', 'rd', 'bd', 'rs', 'ys', 'rd', 'yd', 'ys', 'bc', 'yd', 'bd', 'rs', 'ys', 'rd', 'yd'], 'ts': [1574781672478, 1574781692992, 1574781708743, 1574781756320, 1574781774503, 1574781794943, 1574781811506, 1574781822703, 1574781847798, 1574781863528, 1574781874076, 1574781889467, 1574781902872, 1574781913128, 1574781923173], 'clicks': [[{'stone': 'rs', 'timestamp': 1574781672478}], [{'stone': 'rd', 'timestamp': 1574781692992}], [{'stone': 'bd', 'timestamp': 1574781708743}], [{'stone': 'ys', 'timestamp': 1574781721744}, {'stone': 'rs', 'timestamp': 1574781756320}], [{'stone': 'ys', 'timestamp': 1574781774503}], [{'stone': 'rd', 'timestamp': 1574781794943}], [{'stone': 'yd', 'timestamp': 1574781811506}], [{'stone': 'ys', 'timestamp': 1574781822703}], [{'stone': 'bc', 'timestamp': 1574781847798}], [{'stone': 'yd', 'timestamp': 1574781863528}], [{'stone': 'bd', 'timestamp': 1574781874076}], [{'stone': 'rs', 'timestamp': 1574781889467}], [{'stone': 'ys', 'timestamp': 1574781902872}], [{'stone': 'rd', 'timestamp': 1574781913128}], [{'stone': 'yd', 'timestamp': 1574781923173}]]}"
"15","b2d36e0b-3c11-43b1-a460-2cc5e4f26fa1","DemoExperiment","{'guess': 'WHEN THE MAGIC STONE HITS IT TURNS NORMAL STONE YELLOW', 'age': '48', 'sex': 'female', 'engagement': '10', 'difficulty': '5', 'feedback': 'NONE', 'learningTaskId': 'learn04', 'token': 'WGZHF1JA', 'date': '2019_11_27', 'time': '11_57_39', 'instructions_duration': 155738, 'task_duration': 267811}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rc', 'rc', 'rc', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'yd', 'yd', 'yd', 'yd'], 'recipient': ['ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd'], 'selection': ['ys', 'ys', 'ys', 'ys', 'rs', 'ys', 'rs', 'ys', 'bs', 'ys', 'bd', 'ys', 'bs', 'yd', 'rd'], 'ts': [1574783559060, 1574783576078, 1574783587793, 1574783598692, 1574783614396, 1574783626429, 1574783637366, 1574783647456, 1574783656807, 1574783667735, 1574783687823, 1574783698597, 1574783707796, 1574783718446, 1574783736548], 'clicks': [[{'stone': 'ys', 'timestamp': 1574783559060}], [{'stone': 'ys', 'timestamp': 1574783576078}], [{'stone': 'ys', 'timestamp': 1574783587793}], [{'stone': 'ys', 'timestamp': 1574783598692}], [{'stone': 'rs', 'timestamp': 1574783614396}], [{'stone': 'ys', 'timestamp': 1574783626429}], [{'stone': 'rs', 'timestamp': 1574783637366}], [{'stone': 'ys', 'timestamp': 1574783647456}], [{'stone': 'bs', 'timestamp': 1574783656807}], [{'stone': 'ys', 'timestamp': 1574783667735}], [{'stone': 'bs', 'timestamp': 1574783677635}, {'stone': 'yd', 'timestamp': 1574783686525}, {'stone': 'bd', 'timestamp': 1574783687823}], [{'stone': 'ys', 'timestamp': 1574783698597}], [{'stone': 'bs', 'timestamp': 1574783707796}], [{'stone': 'yd', 'timestamp': 1574783718446}], [{'stone': 'rd', 'timestamp': 1574783730097}, {'stone': 'bd', 'timestamp': 1574783733547}, {'stone': 'rd', 'timestamp': 1574783736548}]]}"
"16","c4cf6142-eff4-4d7d-9e46-685974ffe7b1","DemoExperiment","{'guess': 'Changing the normal stone to a like color and shape stone', 'age': '39', 'sex': 'female', 'engagement': '10', 'difficulty': '5', 'feedback': 'thank you', 'learningTaskId': 'learn06', 'token': 'U0DFFNP6', 'date': '2019_11_27', 'time': '11_14_10', 'instructions_duration': 125676, 'task_duration': 183647}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'bd', 'bd', 'bd', 'bd', 'rs', 'rs', 'rs', 'rs', 'rd', 'rd', 'rd', 'rd'], 'recipient': ['yd', 'rc', 'rd', 'yc', 'yd', 'rc', 'rd', 'yc', 'yd', 'rc', 'rd', 'yc', 'yd', 'rc', 'rd'], 'selection': ['bs', 'bs', 'bs', 'bs', 'bs', 'bs', 'bs', 'rs', 'rs', 'rs', 'rs', 'rd', 'rd', 'rd', 'rd'], 'ts': [1574784632016, 1574784641264, 1574784649472, 1574784660824, 1574784670303, 1574784679768, 1574784686583, 1574784696135, 1574784704024, 1574784710816, 1574784716903, 1574784725727, 1574784733095, 1574784741071, 1574784749895], 'clicks': [[{'stone': 'bs', 'timestamp': 1574784632016}], [{'stone': 'bs', 'timestamp': 1574784641264}], [{'stone': 'bs', 'timestamp': 1574784649472}], [{'stone': 'bs', 'timestamp': 1574784660824}], [{'stone': 'bs', 'timestamp': 1574784670303}], [{'stone': 'bs', 'timestamp': 1574784679768}], [{'stone': 'bs', 'timestamp': 1574784686583}], [{'stone': 'bs', 'timestamp': 1574784695200}, {'stone': 'rs', 'timestamp': 1574784696135}], [{'stone': 'rs', 'timestamp': 1574784704024}], [{'stone': 'rs', 'timestamp': 1574784710816}], [{'stone': 'rs', 'timestamp': 1574784716903}], [{'stone': 'rd', 'timestamp': 1574784725727}], [{'stone': 'rd', 'timestamp': 1574784733095}], [{'stone': 'rd', 'timestamp': 1574784741071}], [{'stone': 'rd', 'timestamp': 1574784749895}]]}"
"17","6603e0e2-57f0-4029-8c95-930a4c061614","DemoExperiment","{'guess': 'I think the final normal shape color is same as magic shape color', 'age': '27', 'sex': 'female', 'engagement': '10', 'difficulty': '5', 'feedback': 'Interesting experiment', 'learningTaskId': 'learn05', 'token': 'GGJ4ABPZ', 'date': '2019_11_27', 'time': '09_34_20', 'instructions_duration': 396434, 'task_duration': 550636}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['yd', 'yd', 'yd', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'rc', 'rc', 'rc', 'rc'], 'recipient': ['bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc'], 'selection': ['bs', 'bc', 'bs', 'yc', 'ys', 'bc', 'bs', 'rc', 'rs', 'rc', 'rs', 'rc', 'rs', 'rc', 'rs'], 'ts': [1574785518179, 1574785553434, 1574785600813, 1574785638311, 1574785658171, 1574785689828, 1574785709016, 1574785735710, 1574785759536, 1574785777560, 1574785790167, 1574785813615, 1574785830511, 1574785840109, 1574785851378], 'clicks': [[{'stone': 'bs', 'timestamp': 1574785518179}], [{'stone': 'bc', 'timestamp': 1574785553113}, {'stone': 'bc', 'timestamp': 1574785553434}], [{'stone': 'bs', 'timestamp': 1574785600813}], [{'stone': 'yc', 'timestamp': 1574785637561}, {'stone': 'yc', 'timestamp': 1574785638311}], [{'stone': 'ys', 'timestamp': 1574785658171}], [{'stone': 'bc', 'timestamp': 1574785689031}, {'stone': 'bc', 'timestamp': 1574785689828}], [{'stone': 'bs', 'timestamp': 1574785709015}], [{'stone': 'rc', 'timestamp': 1574785735011}, {'stone': 'rc', 'timestamp': 1574785735710}], [{'stone': 'rs', 'timestamp': 1574785758880}, {'stone': 'rs', 'timestamp': 1574785759536}], [{'stone': 'rc', 'timestamp': 1574785776871}, {'stone': 'rc', 'timestamp': 1574785777560}], [{'stone': 'rs', 'timestamp': 1574785789272}, {'stone': 'rs', 'timestamp': 1574785790167}], [{'stone': 'rc', 'timestamp': 1574785812968}, {'stone': 'rc', 'timestamp': 1574785813614}], [{'stone': 'rs', 'timestamp': 1574785829113}, {'stone': 'rs', 'timestamp': 1574785830511}], [{'stone': 'rc', 'timestamp': 1574785840109}], [{'stone': 'rs', 'timestamp': 1574785851378}]]}"
"22","ab8ad409-4321-4408-afcd-ec9d0da48bee","DemoExperiment","{'guess': 'The magic stone will make the other stone the same color as it is but keep the same shape.', 'age': '49', 'sex': 'female', 'engagement': '7', 'difficulty': '4', 'feedback': '', 'learningTaskId': 'learn02', 'token': 'AV1SFI8D', 'date': '2019_11_28', 'time': '09_05_06', 'instructions_duration': 209101, 'task_duration': 236962}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'ys', 'ys', 'ys', 'ys', 'bc', 'bc', 'bc', 'bc', 'yc', 'yc', 'yc', 'yc'], 'recipient': ['yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc'], 'selection': ['bd', 'bc', 'bc', 'yd', 'yd', 'yc', 'yc', 'bd', 'bd', 'bc', 'bc', 'yd', 'yd', 'yc', 'yc'], 'ts': [1574859646013, 1574859662180, 1574859683349, 1574859696899, 1574859712719, 1574859723076, 1574859734320, 1574859746289, 1574859759683, 1574859767119, 1574859775883, 1574859783597, 1574859792587, 1574859801359, 1574859808345], 'clicks': [[{'stone': 'bd', 'timestamp': 1574859646013}], [{'stone': 'bc', 'timestamp': 1574859662180}], [{'stone': 'bc', 'timestamp': 1574859683349}], [{'stone': 'yd', 'timestamp': 1574859696899}], [{'stone': 'yd', 'timestamp': 1574859712719}], [{'stone': 'yc', 'timestamp': 1574859723076}], [{'stone': 'yc', 'timestamp': 1574859734320}], [{'stone': 'bd', 'timestamp': 1574859746289}], [{'stone': 'bd', 'timestamp': 1574859759683}], [{'stone': 'bc', 'timestamp': 1574859767119}], [{'stone': 'bc', 'timestamp': 1574859775883}], [{'stone': 'yd', 'timestamp': 1574859783597}], [{'stone': 'yd', 'timestamp': 1574859792587}], [{'stone': 'yc', 'timestamp': 1574859801359}], [{'stone': 'yc', 'timestamp': 1574859808345}]]}"
"18","44dba40d-7bf6-4d81-921e-8e3c6bbbe8d1","DemoExperiment","{'guess': 'It changes it to the same color opposite shape?', 'age': '27', 'sex': 'male', 'engagement': '10', 'difficulty': '5', 'feedback': '', 'learningTaskId': 'learn05', 'token': 'AE1SSXD8', 'date': '2019_11_27', 'time': '12_36_54', 'instructions_duration': 95571, 'task_duration': 132781}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['yd', 'yd', 'yd', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'rc', 'rc', 'rc', 'rc'], 'recipient': ['bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc'], 'selection': ['bs', 'bc', 'ys', 'bc', 'ys', 'yc', 'yc', 'rc', 'rs', 'rc', 'ys', 'rs', 'yd', 'rc', 'rs'], 'ts': [1574786035486, 1574786043990, 1574786049481, 1574786055104, 1574786062070, 1574786067478, 1574786072090, 1574786082070, 1574786087992, 1574786096897, 1574786103815, 1574786109947, 1574786116229, 1574786126301, 1574786133233], 'clicks': [[{'stone': 'bs', 'timestamp': 1574786035486}], [{'stone': 'bc', 'timestamp': 1574786043990}], [{'stone': 'ys', 'timestamp': 1574786049481}], [{'stone': 'bs', 'timestamp': 1574786054662}, {'stone': 'bc', 'timestamp': 1574786055104}], [{'stone': 'yc', 'timestamp': 1574786060998}, {'stone': 'ys', 'timestamp': 1574786062070}], [{'stone': 'yc', 'timestamp': 1574786067478}], [{'stone': 'yc', 'timestamp': 1574786072090}], [{'stone': 'yc', 'timestamp': 1574786079042}, {'stone': 'rc', 'timestamp': 1574786082070}], [{'stone': 'rs', 'timestamp': 1574786087992}], [{'stone': 'rc', 'timestamp': 1574786096897}], [{'stone': 'ys', 'timestamp': 1574786103815}], [{'stone': 'rs', 'timestamp': 1574786109947}], [{'stone': 'yd', 'timestamp': 1574786116229}], [{'stone': 'rd', 'timestamp': 1574786125089}, {'stone': 'rc', 'timestamp': 1574786126301}], [{'stone': 'rs', 'timestamp': 1574786133233}]]}"
"19","a9dbc571-e5d4-4e92-86ad-b84dc2b196c3","DemoExperiment","{'guess': 'No matter what shape and color the item is, when a magic stone touches another stone it makes it the same color and shape as it is.', 'age': '31', 'sex': 'female', 'engagement': '8', 'difficulty': '2', 'feedback': 'This was fun, thank you!', 'learningTaskId': 'learn06', 'token': 'YSJHOXLE', 'date': '2019_11_27', 'time': '09_43_09', 'instructions_duration': 164831, 'task_duration': 281656}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'bd', 'bd', 'bd', 'bd', 'rs', 'rs', 'rs', 'rs', 'rd', 'rd', 'rd', 'rd'], 'recipient': ['yd', 'rc', 'rd', 'yc', 'yd', 'rc', 'rd', 'yc', 'yd', 'rc', 'rd', 'yc', 'yd', 'rc', 'rd'], 'selection': ['bs', 'bs', 'bs', 'bd', 'bd', 'bd', 'bd', 'rs', 'rs', 'rs', 'rs', 'rd', 'rd', 'rd', 'rd'], 'ts': [1574786282117, 1574786306566, 1574786319485, 1574786330846, 1574786347684, 1574786356535, 1574786369872, 1574786380719, 1574786388535, 1574786423410, 1574786440696, 1574786452345, 1574786461378, 1574786468235, 1574786476303], 'clicks': [[{'stone': 'bd', 'timestamp': 1574786273399}, {'stone': 'bs', 'timestamp': 1574786282116}], [{'stone': 'bs', 'timestamp': 1574786306565}], [{'stone': 'bs', 'timestamp': 1574786319485}], [{'stone': 'bd', 'timestamp': 1574786330846}], [{'stone': 'bd', 'timestamp': 1574786347684}], [{'stone': 'bd', 'timestamp': 1574786356535}], [{'stone': 'bd', 'timestamp': 1574786369872}], [{'stone': 'rs', 'timestamp': 1574786380719}], [{'stone': 'rs', 'timestamp': 1574786388535}], [{'stone': 'rs', 'timestamp': 1574786423410}], [{'stone': 'rs', 'timestamp': 1574786440696}], [{'stone': 'rd', 'timestamp': 1574786452345}], [{'stone': 'rs', 'timestamp': 1574786460043}, {'stone': 'rd', 'timestamp': 1574786461378}], [{'stone': 'rd', 'timestamp': 1574786468235}], [{'stone': 'rd', 'timestamp': 1574786476303}]]}"
"20","9fc85bff-ad6a-4ee5-a055-a6c6433a1e8c","DemoExperiment","{'guess': 'Magic stones only change the shape of normal stones to their shapes.', 'age': '34', 'sex': 'female', 'engagement': '10', 'difficulty': '5', 'feedback': '', 'learningTaskId': 'learn01', 'token': 'OC5HF5FJ', 'date': '2019_11_27', 'time': '12_56_49', 'instructions_duration': 217151, 'task_duration': 575022}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rs', 'rs', 'rs', 'bs', 'bs', 'bs', 'bs', 'rd', 'rd', 'rd', 'rd', 'bd', 'bd', 'bd', 'bd'], 'recipient': ['bc', 'yd', 'bd', 'yc', 'bc', 'yd', 'bd', 'yc', 'bc', 'yd', 'bd', 'yc', 'bc', 'yd', 'bd'], 'selection': ['bs', 'yc', 'bc', 'ys', 'bs', 'yc', 'bc', 'yd', 'bd', 'yd', 'bd', 'yd', 'bd', 'yd', 'bd'], 'ts': [1574797638127, 1574797698040, 1574797718316, 1574797794802, 1574797811524, 1574797832337, 1574797848247, 1574797907573, 1574797921345, 1574797959119, 1574797968907, 1574797980124, 1574797989926, 1574798002351, 1574798018545], 'clicks': [[{'stone': 'bs', 'timestamp': 1574797638127}], [{'stone': 'yc', 'timestamp': 1574797698040}], [{'stone': 'bc', 'timestamp': 1574797718316}], [{'stone': 'ys', 'timestamp': 1574797794802}], [{'stone': 'bs', 'timestamp': 1574797811524}], [{'stone': 'yc', 'timestamp': 1574797832337}], [{'stone': 'bc', 'timestamp': 1574797848247}], [{'stone': 'yd', 'timestamp': 1574797907573}], [{'stone': 'bd', 'timestamp': 1574797921345}], [{'stone': 'yd', 'timestamp': 1574797959119}], [{'stone': 'bd', 'timestamp': 1574797968907}], [{'stone': 'yd', 'timestamp': 1574797980124}], [{'stone': 'bd', 'timestamp': 1574797989926}], [{'stone': 'yd', 'timestamp': 1574798002351}], [{'stone': 'bd', 'timestamp': 1574798018545}]]}"
"21","87547a1d-a366-4b40-879d-0c422955cf45","DemoExperiment","{'guess': 'Whatever the color in the magic stone will turn a normal stone the same color as the magic stone.', 'age': '34', 'sex': 'female', 'engagement': '10', 'difficulty': '3', 'feedback': 'This was a lot of fun and I really enjoyed doing this :)', 'learningTaskId': 'learn02', 'token': 'ILO9S66F', 'date': '2019_11_27', 'time': '16_25_32', 'instructions_duration': 212839, 'task_duration': 221218}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'ys', 'ys', 'ys', 'ys', 'bc', 'bc', 'bc', 'bc', 'yc', 'yc', 'yc', 'yc'], 'recipient': ['yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc'], 'selection': ['bd', 'bc', 'bc', 'yd', 'yd', 'yc', 'yc', 'bd', 'bd', 'bc', 'bc', 'bd', 'yd', 'yc', 'yc'], 'ts': [1574810476390, 1574810484792, 1574810495079, 1574810504865, 1574810527985, 1574810540651, 1574810552351, 1574810561533, 1574810570747, 1574810577387, 1574810585466, 1574810592276, 1574810599202, 1574810610053, 1574810617020], 'clicks': [[{'stone': 'bs', 'timestamp': 1574810475064}, {'stone': 'bd', 'timestamp': 1574810476390}], [{'stone': 'bc', 'timestamp': 1574810484792}], [{'stone': 'bc', 'timestamp': 1574810495078}], [{'stone': 'yd', 'timestamp': 1574810504865}], [{'stone': 'yd', 'timestamp': 1574810527985}], [{'stone': 'yc', 'timestamp': 1574810540651}], [{'stone': 'yc', 'timestamp': 1574810552351}], [{'stone': 'bd', 'timestamp': 1574810561533}], [{'stone': 'bd', 'timestamp': 1574810570747}], [{'stone': 'bc', 'timestamp': 1574810577387}], [{'stone': 'bc', 'timestamp': 1574810585466}], [{'stone': 'bd', 'timestamp': 1574810592276}], [{'stone': 'yd', 'timestamp': 1574810599202}], [{'stone': 'bc', 'timestamp': 1574810609172}, {'stone': 'yc', 'timestamp': 1574810610053}], [{'stone': 'yc', 'timestamp': 1574810617020}]]}"
